galactic year,galaxy,pc_0,pc_1,pc_2,pc_3,pc_4,y,2_knn,3_knn,5_knn,prev_y,trend,knn_std
0,Large Magellanic Cloud (LMC),5.010874926102963,0.8489929026471825,-0.6603058018999594,0.03185555500631807,0.13993571879564046,0.05258977109572517,0.052165385867256414,0.05240758152724725,0.05220553696627649,0.05179595839353409,0.0,0.0001298029616308121
0,Camelopardalis B,1.5798510179312326,0.040337728789234154,-0.7561811838889095,-0.24062288641352073,-0.043405699551331355,0.05986803016773545,0.06344546417204715,0.06479558873034202,0.06334178780140269,0.059725269460146835,0.0,0.0008110818139708853
0,Virgo I,6.483054685798896,1.3226993277006307,-0.22768032057329632,0.6961932259848639,-0.08916085600598013,0.05044906218785139,0.04883391501767592,0.0492603728663737,0.04977665320912807,0.04911130926841536,0.0,0.00047208173491691444
0,UGC 8651 (DDO 181),4.478310924376848,-0.05185433704759451,3.2162777790529624,1.283216875270316,2.979017077933026,0.04939424843578112,0.04925631204275496,0.04914677038251915,0.04932084309404222,0.0482613635323789,0.0,8.80008909087979e-05
0,Tucana Dwarf,-3.216366942035844,2.9625512448062348,0.02114564002596967,-0.5690510487265681,-0.10390277461751335,0.15424698544491255,0.18212144721120577,0.19101814611320575,0.18745322677217566,0.15570849939314016,0.0,0.004477495106040028
0,KKh 060,0.3656227936812437,0.0408566833838159,-0.3728118159820854,-0.27511008889217964,0.27526300972215356,0.05287066836840537,0.08909260463523902,0.09583353897000979,0.07943380752509074,0.0517604720111682,0.0,0.008243014707275556
0,Grus II,0.9777990260977519,0.024697789244586283,-0.8243559209955664,-0.34746467545203835,0.7942052071396475,0.052780248160849814,0.06239685680105713,0.0625424549701929,0.0630750776239189,0.05237144017955617,0.0,0.0003570408946421272
0,UGCA 292,0.3985790138712697,-0.10027562507302312,-0.811875285255444,-0.5587401055799707,0.3898100730304612,0.06265202442315343,0.06479400086001465,0.062287689764408884,0.06180299994073212,0.06215070480279348,0.0,0.001605335169171913
0,Aquarius II,4.846198749559377,0.8280682709377664,-0.4929597891517098,0.6776425415833494,0.21222745692692238,0.05392714068299398,0.05148688066412696,0.05194305377327511,0.052178585320715384,0.052452548632473006,0.0,0.0003516684867162082
0,Andromeda XI,5.467912174241767,0.9954391946639045,-0.7357458063564606,0.34791756077968095,-0.16508103497785545,0.05058821118683099,0.05054068113564989,0.05102509674328508,0.050036527430779784,0.04965894885917482,0.0,0.0004943174966021354
